date,price
01-07-21,6.65
01-04-21,7.56
01-01-21,6.37
01-10-20,5.34
01-07-20,5.64
01-04-20,6.1
01-01-20,7.32
01-10-19,6.46
01-07-19,6.28
01-04-19,7.54
01-01-19,7.41
01-10-18,6.85
01-07-18,7
01-04-18,8.59
01-01-18,7.66
01-10-17,6.51
01-07-17,7.51
01-04-17,7.86
01-01-17,7.9
01-10-16,7.46
01-07-16,7.25
01-04-16,7.35
01-01-16,6.5
01-10-15,5.28
01-07-15,5.25
01-04-15,5.13
01-01-15,5.56
01-10-14,5.76
01-07-14,5.94
01-04-14,6.94
01-01-14,7.76
01-10-13,6.67
01-07-13,6.71
01-04-13,7.1
01-01-13,6.38
01-10-12,4.79
01-07-12,4.63
01-04-12,4.83
01-01-12,4.72
01-10-11,4.35
01-07-11,5.27
01-04-11,7.19
01-01-11,7.03
01-10-10,6.44
01-07-10,6.32
01-04-10,6.25
01-01-10,5.56
01-10-09,4.95
01-07-09,5.26
01-04-09,5.25
01-01-09,4.24
01-10-08,3.96
01-07-08,5.32
01-04-08,5.2
01-01-08,4.92
01-10-07,4.55
01-07-07,4.56
01-04-07,4.48
01-01-07,4.59
01-10-06,4.37
01-07-06,5.56
01-04-06,6.09
01-01-06,4.22
01-10-05,4.05
01-07-05,4.3
01-04-05,4.06
01-01-05,3.85
01-10-04,3.36
01-07-04,3.24
01-04-04,3.43
01-01-04,3.33
01-10-03,3.08
01-07-03,2.59
01-04-03,3.04
01-01-03,3.26
01-10-02,3.15
01-07-02,3.07
01-04-02,2.96
01-01-02,2.57
01-10-01,2.66
01-07-01,2.89
01-04-01,2.96
01-01-01,3.06
01-10-00,2.95
01-07-00,3.71
01-04-00,4.03
01-01-00,3.9
01-10-99,3.61
01-07-99,3.45
01-04-99,3.6
01-01-99,3.61
01-10-98,3.73
01-07-98,3.69
01-04-98,3.99
01-01-98,3.47
01-10-97,3.65
01-07-97,3.63
01-04-97,3.63
01-01-97,4
01-10-96,4.08
01-07-96,3.74
01-04-96,4.31
01-01-96,4.32
01-10-95,4.08
01-07-95,4.81
01-04-95,5.32
01-01-95,4.89
01-10-94,5.03
01-07-94,5.18
01-04-94,5.36
01-01-94,4.47
01-10-93,4.2
01-07-93,5.06
01-04-93,5.7
01-01-93,5.08
01-10-92,6.15
01-07-92,6.97
01-04-92,5.12
01-01-92,5.36
01-10-91,5.45
01-07-91,4.82
01-04-91,5.01
01-01-91,6.18
01-10-90,6.44
01-07-90,5.98
01-04-90,5.7
01-01-90,5.49
